year,first,second,third
1983,Sarah Tanford,Edie Greene,
1984,Daniel Linz,,
1985,Nancy Brekke,Carol Krafka,
1986,Roselle Wissler,,
1987,Brian Cutler,,
1988,Patricia Frazier,,
1989,,,
1990,James Ogloff,Regina Schuller,Mark Small
1991,Barry Rosenfeld,,
1992,Bette Bottoms,,Cathy Carter
1993,Ann Tobey,Doug Narby,
1994,Margaret Kovera,Karen Leslie Steinberg,Nancy Schneider
1995,Lori Beth Frank,Mindy Mechanic,Maithilee K. Pathak
1996,Kimberly Lonsway,Charles R. Mullin,Phyllis B. Gerstenfeld
1997,David Glass,Stephen Anderer,Richard Redding
1998,Joanna Pozzulo,Jennifer Robbennolt,Dennis Stolle
1999,Jennifer Skeem,,Dan Krauss
2000,Bradley McAuliff,Lyn Castrianno,Kimberly Brown
2001,Mark Phillips,Christian Meissner,Eve Brank
2002,Jennifer Groscup,Tamara Haegerich,Gina Vincent & David DeMatteo
2003,Virginia Cooper,Teri Forrest,Mary Ann Campbell & Alexis Kennedy
2004,Jodi Viljoen,Candice Odgers,Martin Hildebrand
2005,Tara Mitchell,Lisa Chraznowski,Lora Levett & Greg Kramer
2006,Amy Leach,Jessica Klaver,Jessica Meyer
2007,Jeffrey Haun,Kathryn Modecki,Tracy Fass
2008,Margaret C. Stevenson,Laura G. Kirsch,Melanie R. Farkas & Lindsay Malloy
2009,Tarika Daftary-Kapur,Gianni Pirelli,Bethany Young
2010,Samantha Schwartz,Caroline Crocker,Ashley Christiansen
2011,Annelies Vredeveldt,Jay P. Singh,Julia Clara Busso Kennard
2012,Kaitlyn McLachlan,Ekaterina Pivovarova,Jessica Salerno
2013,Taeko Wachi,Rebecca Weiss,Heather Butler
2014,Anthony Perillo,(tie) Miko Wilford & Misun Yi,Jeffrey Kukucka
2015,Skye Stephens,Laura White,Alana Krix
2016,Evan McCuish,Caitlin Cavanaugh,Kelsey Henderson
2017,Nathalie Brackmann,Melissa Colloff,Lauren Kois
2018,Lucy Guarnera,Pia Hollerbach,Rachel Greenspan
2020,Christine Shahan Brugh,Dylan T. Gatner,Alicia Nijdam-Jones
2021,Catherine Shaffer-McCuish,Alejandra de la Fuente,Adele Quigley-McBride
2022,Stephanie Cardenas,Joseph Avery,Amy Dezember
2023,Jesse Grabman,Tamara de Beuf,Breanne Wylie
2024,Jacqueline Katzman,Lauren Grove,Cassandra Flick
2025,Laura M. Stevens,Emily Weinberger,Dilhan Töredi
2026,Sandy S. Xie,Samantha Rea Bean,Luca Adolfo Tiberi
