year,name
1986,Saleem Shah (First time awarded)
1988,John Monahan and Laurens Walker
1990,Supreme Court Justice Harry Blackmun
1992,Bruce Sales
1998,Larry Wrightsman
2001,Gary Wells
2005,Janet Reno
2006,Stanley Brodsky
2008,Elizabeth Loftus
2010,Ronald Roesch
2011,Norman Poythress
2012,Thomas Grisso
2013,Michael E. Lamb
2014,Saul Kassin
2015,Gail Goodman
2016,Kirk Heilbrun and Chris Slobogin
2017,Michael Saks
2018,James Ogloff
2021,Randy K. Otto
2022,Linda A. Teplin
2023,"Patricia A. Griffin and Ronald Fisher, Ph.D."
2024,"Roy Malpass, Ph.D."
2025,"Margaret Bull Kovera, Ph.D."
