year,type,name,affiliation
2004,outstanding,Margaret Bull Kovera,
2005,outstanding,Bette Bottoms,
2005,outstanding,James R. P. Ogloff,
2006,outstanding,Beth Schwartz,
2007,outstanding,N. Dickon Reppucci,
2008,outstanding,Edith Greene,
2009,outstanding,Ronald Roesch,
2010,outstanding,Mark Costanzo,
2011,outstanding,Brian H. Bornstein,
2012,outstanding,Amye R. Warren,
2013,outstanding,Roderick C.L. Lindsay,
2014,outstanding,Bradley McAuliff,
2015,outstanding,Jodi A. Quas,
2016,outstanding,Matthew T. Huss,"Federal Medical Center - Butner, NC"
2016,early,Amanda Zelechoski,
2017,outstanding,Monica K. Miller,University of Nevada-Reno
2017,outstanding,Jennifer Robbennolt,University of Illinois at Urbana-Champaign
2018,outstanding,Jennifer L. Groscup,Scripps College
2018,early,Tess M.S. Neal,
2019,outstanding,Eve M. Brank,University of Nebraska-Lincoln
2019,outstanding,Robert E. Cochrane,
2019,early,Cynthia J. Najdowski,
2020,outstanding,Garrett Berman,Roger Williams University
2020,early,Nesa E. Waserhaley,Bridgewater State University
2021,outstanding,Allison Redlich,George Mason University
2021,early,Anthony Perillo,Indiana University of Pennsylvania
2022,outstanding,Daniel Krauss,Claremont McKenna College
2022,early,Apryl Alexander,University of Denver
2023,outstanding,Angela D. Evans,Brock University
2023,early,Ashley B. Batastini,The University of Memphis
2024,outstanding,Margaret Stevenson,
2024,early,Jeff Kukucka,
2025,outstanding,Jenni Cox,
2025,early,Ashley Votruba,
2026,outstanding,Deah Quinlivan,Florida Southern College
2026,early,Cassandra Bailey,Metropolitan State University Denver
