type,name,cite,url
Forensic,Forensic Assessment via Videoconferencing: Issues and practice considerations.,"Adjorlolo, S., & Chan, H. C. O. (2015). Forensic Assessment via Videoconferencing: Issues and practice considerations. Journal of Forensic Psychology Practice, 15(3), 185-204.",https://doi.org/10.1080/15228932.2015.1015363
Forensic,Connecting the disconnected: Preliminary results and lessons learned from a telepsychology initiative with special management inmates.,"Batastini, A. B., & Morgan, R. D. (2016). Connecting the disconnected: Preliminary results and lessons learned from a telepsychology initiative with special management inmates. Psychological Services, 13(3), 283.",http://dx.doi.org/10.1037/ser0000078
Forensic,Telepsychological services with criminal justice and substance abuse clients: A systematic review and meta-analysis.,"Batastini, A. B., King, C. M., Morgan, R. D., & McDaniel, B. (2016). Telepsychological services with criminal justice and substance abuse clients: A systematic review and meta-analysis. Psychological Services, 13(1), 20.",https://www.researchgate.net/publication/280219476_Telepsychological_Services_With_Criminal_Justice_and_Substance_Abuse_Clients_A_Systematic_Review_and_Meta-Analysis
Forensic,Videoteleconferencing in forensic and correctional practice.,"Batastini, A. B., McDonald, B. R., & Morgan, R. D. (2013). Videoteleconferencing in forensic and correctional practice. In K. Myers & C. L. Turvey (Eds.), Elsevier insights. Telemental health: Clinical, technical, and administrative foundations for evidence-based practice, 251-271. Elsevier.",https://psycnet.apa.org/record/2012-27199-013
Forensic,Perceptions and use of videoconferencing in forensic mental health assessments: A survey of evaluators and legal personnel. ,"Batastini, A. B., Pike, M., Thoen, M. A., Jones, A. C., Davis, R. M., & Escalera, E. (2019). Perceptions and use of videoconferencing in forensic mental health assessments: A survey of evaluators and legal personnel. Psychology, Crime & Law, 1-21.",https://doi.org/10.1080/1068316X.2019.1708355
Forensic,A Statewide Elder Mistreatment Virtual Assessment Program: Preliminary Data.,"Burnett, J., Dyer, C. B., Clark, L. E., & Halphen, J. M. (2019). A Statewide Elder Mistreatment Virtual Assessment Program: Preliminary Data. Journal of the American Geriatrics Society, 67(1), 151–155.",https://pubmed.ncbi.nlm.nih.gov/30221757/
Forensic,Improving care quality with prison telemedicine: The effects of context and multiplicity on successful implementation and use.,"Edge, C., Black, G., King, E., George, J., Patel, S., & Hayward, A. (2019). Improving care quality with prison telemedicine: The effects of context and multiplicity on successful implementation and use. Journal of Telemedicine and Telecare, 1357633X19869131.",https://journals.sagepub.com/doi/abs/10.1177/1357633X19869131
Forensic,Telehealth technologies support participation in Community-Based OT (CBOT) services during postjail transition and integration.,"Hayes, C., Jaegers, L., Conners, B., & Barney, K. (2019). Telehealth technologies support participation in Community-Based OT (CBOT) services during postjail transition and integration. American Journal of Occupational Therapy, 73(4).",https://www.researchgate.net/profile/Karen_Barney/publication/337299046_Telehealth_Technologies_Support_Participation_in_Community-Based_OT_CBOT_Services_During_Postjail_Transition_and_Integration/links/5e5007ac458515072dafad89/Telehealth-Technologies-Support-Participation-in-Community-Based-OT-CBOT-Services-During-Postjail-Transition-and-Integration.pdf
Forensic,Lessons Learned in Prison and Jail-Based Telepsychiatry.,"Kaftarian, E. (2019). Lessons Learned in Prison and Jail-Based Telepsychiatry. Current Psychiatry Reports, 21(3), 15.",https://doi.org/10.1007/s11920-019-1004-5
Forensic,eHealth in treatment of offenders in forensic mental health: A review of the current state.,"Kip, H., Bouman, Y. H. A., Kelders, S. M., & Van Gemert-Pijnen, L. J. E. W. C. (2018). eHealth in treatment of offenders in forensic mental health: A review of the current state. Frontiers in Psychiatry.",https://www.frontiersin.org/articles/10.3389/fpsyt.2018.00042/full
Forensic,Use of video conferencing for psychiatric and forensic evaluations.,"Lexcen, F. J., Hawk, G. L., Herrick, S., & Blank, M. B. (2006). Use of video conferencing for psychiatric and forensic evaluations. Psychiatric Services, 57(5), 713-715.",https://psycnet.apa.org/record/2006-06489-019
Forensic,Forensic competency evaluations via videoconferencing: A feasibility review and best practice recommendations.,"Luxton, D. D., & Lexcen, F. J. (2018). Forensic competency evaluations via videoconferencing: A feasibility review and best practice recommendations. Professional Psychology: Research and Practice, 49(2), 124.",http://dx.doi.org/10.1037/pro0000179
Forensic,Implementation and Evaluation of Videoconferencing for Forensic Competency Evaluation.,"Luxton, D. D., & Niemi, J. (2019). Implementation and Evaluation of Videoconferencing for Forensic Competency Evaluation. Telemedicine and e-Health.",https://www.liebertpub.com/doi/abs/10.1089/tmj.2019.0150
Forensic,Forensic Competency Assessment with Digital Technologies.,"Luxton, D. D., Lexcen, F. J., & McIntyre, K. A. (2019). Forensic Competency Assessment with Digital Technologies. Current Psychiatry Reports. 21: 60.",https://link.springer.com/article/10.1007/s11920-019-1037-9
Forensic,The use of telemedicine to evaluate competency to stand trial: A preliminary randomized controlled study.,"Manguno-Mire, G. M., Thompson, J. W., Shore, J. H., Croy, C. D., Artecona, J. F., & Pickering, J. W. (2007). The use of telemedicine to evaluate competency to stand trial: A preliminary randomized controlled study. Journal of the American Academy of Psychiatry and the Law Online, 35(4), 481-489.",http://jaapl.org/content/35/4/481
Forensic,"Teleconferencing model for forensic consultation, court testimony, and continuing education.","Miller, T. W., Clark, J., Veltkamp, L. J., Burton, D. C., & Swope, M. (2008). Teleconferencing model for forensic consultation, court testimony, and continuing education. Behavioral Sciences & the Law, 26(3), 301-313.",https://psycnet.apa.org/record/2008-09306-005
